OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun  2 2021 13:59:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.960000038,-0.280000001,-2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,Aci yermo3 south,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:00:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:00:19 Coolers: Tleaf -> 23.50 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:00:26 LCF Lamp: ParIn -> 1000 uml, with blue = 10 percent, actinic on""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:08:04 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:16 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:20 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:20 LCF Lamp: ParIn -> 1000 uml, with blue = 10 percent, actinic on""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:20 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:20 Coolers: Tleaf -> 23.50 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:21 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:09:21 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:11:43 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:11:22,750.9999993,0,13.33744692,0.23796846,284.157505,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.09601688,0.875048008,0.016403005,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.956784517,1.992766916,24.29628754,2,4.644859791,1,9.289719582,23.08358002,24.29628754,21.39326477,399.9953308,389.5878296,9.34640789,13.25323296,26.27573776,37.25907135,300.901001,998.8873901,1801.384766,79.67328644,-1.367311597,-0.220171109,0.049141269,0.005033013,0.029858883,0.002248566,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504505005,0.005956785,297.4462875,296.23358,159.8219788,-0.445230153,3.048695541,38.26496531,25.01173235,23.68993378,2.939643243,0.232024837,1.055928626,1.883714617,0.145538059,22.63976229,0.72937983,34.58291828,387.649606,0.011898576,0,874.0744214,0,#DIV/0!,#DIV/0!
Remark=,"""14:11:44 CO2 Mixer: CO2R -> 300 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:14:06 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14:13:45,893.9999993,0,9.794524674,0.215324545,207.7333946,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.09601688,0.875048008,0.012356015,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.506761946,2.031266421,24.36003113,2,4.644859791,1,9.289719582,22.86293983,24.36003113,21.16943359,299.9733887,292.3928223,9.303699493,12.91671085,26.50684929,36.80055237,300.8920898,998.3739014,1784.152466,79.67169189,-0.950912952,-0.20467037,0.074722849,0.00379824,0.038563557,0.00191898,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504460449,0.005506762,297.5100311,296.0129398,159.7398206,-0.381908663,3.060362629,38.4121707,25.49545984,23.61148548,2.925786678,0.210446645,1.029096207,1.896690471,0.131958873,16.55047101,0.710459966,33.4215142,290.969463,0.011250247,0,873.6250941,0,#DIV/0!,#DIV/0!
Remark=,"""14:14:07 CO2 Mixer: CO2R -> 200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:16:29 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14:16:08,1036.499999,0,5.428989155,0.201606939,144.7099565,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.09601688,0.875048008,0.007357836,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.215993959,2.052201403,24.35961342,2,4.644859791,1,9.289719582,22.65107918,24.35961342,20.91993332,200.0615387,195.7745209,9.230311394,12.65319729,26.63733101,36.51528168,300.9153748,998.5290527,1767.626953,79.67034912,-0.590715528,-0.189712077,0.03648204,0.002051445,0.036210593,0.002866202,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504576874,0.005215994,297.5096134,295.8010792,159.7646449,-0.341845541,3.060286048,38.41185688,25.75865959,23.5053463,2.907129926,0.197324571,1.008084645,1.899045281,0.123705582,11.52909276,0.739166445,32.64554895,194.9855697,0.00908951,0,873.760859,0,#DIV/0!,#DIV/0!
Remark=,"""14:16:29 CO2 Mixer: CO2R -> 100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:18:51 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14:18:30,1178.499999,0,0.559917609,0.193709431,90.59998553,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.09601688,0.875048008,0.001785305,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.020662913,2.05447986,24.28596115,2,4.644859791,1,9.289719582,22.46840286,24.28596115,20.72279358,100.0191193,99.3155365,9.16040802,12.4559164,26.72947884,36.34556198,300.9020386,998.5214844,1752.32312,79.66730499,-0.42454654,-0.176460817,0.039705817,0.002326299,0.03441355,0.003729814,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504510193,0.005020663,297.4359612,295.6184029,159.7634339,-0.313536598,3.046809152,38.24415991,25.7882435,23.37718201,2.884740421,0.189752703,0.992329291,1.89241113,0.118944691,7.217856679,0.912243831,32.22880028,99.23416819,0.001818474,0,873.7542363,0,#DIV/0!,#DIV/0!
Remark=,"""14:18:51 CO2 Mixer: CO2R -> 50 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:21:13 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14:20:52,1320.499999,0,-1.723987662,0.189989687,65.32206695,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.04622459,0.875023112,-0.00082641,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.009879355,2.088926078,24.47606659,2,4.644859791,1,9.289719582,22.63168716,24.47606659,20.9207077,52.12185669,53.09095383,9.17298317,12.46141338,26.50225639,36.00307465,300.9003601,1001.18866,1739.248413,79.66792297,-0.552505016,-0.17976439,0.026983283,0.006632953,0.048595488,0.007996681,1,-1.355140209,7.355140209,1,0,0.159999996,111135,1.504501801,0.005009879,297.6260666,295.7816872,160.190182,-0.31135647,3.081701,38.68182933,26.22041595,23.55387688,2.915647501,0.186181967,0.992774922,1.922872579,0.116699942,5.204073398,1.230380361,31.83048013,53.34148705,-0.010287556,0,876.063217,0,#DIV/0!,#DIV/0!
Remark=,"""14:21:13 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:23:35 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
