OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  3 2021 15:01:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.960000038,-0.280000001,-2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,ACi sage1 sagehab north,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:04:53 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:04:56 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:04:56 LCF Lamp: ParIn -> 1000 uml, with blue = 10 percent, actinic on""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:04:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:04:56 Coolers: Tleaf -> 23.50 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:04:56 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:04:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:07:37 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:06:57,414.5000002,0,0.875485817,0.166033135,364.1007495,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.899748802,0.874949874,0.002143602,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.687351635,3.115837452,30.19802475,2,4.644859791,1,9.289719582,30.02162933,30.19802475,28.30115891,399.9335938,397.5850525,10.7762289,15.15266609,19.89469337,27.97431755,300.9763489,999.9689941,2030.126343,78.75268555,-0.46391359,-0.528501332,0.032010939,0.015049529,0.031976849,0.019182084,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504881744,0.006687352,303.3480247,303.1716293,159.9950355,-0.522160767,4.3091506,54.71750671,39.56484062,30.10982704,4.287400283,0.163117766,1.193313148,3.094087135,0.102206584,28.67391183,0.91578078,26.39063136,397.4578252,0.00058131,0,874.9227458,0,#DIV/0!,#DIV/0!
Remark=,"""15:07:37 CO2 Mixer: CO2R -> 300 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:10:15 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15:09:38,572.5000004,0,1.63857315,0.140021558,260.1600603,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.899748802,0.874949874,0.003011571,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.735880846,3.161287353,30.17225838,2,4.644859791,1,9.289719582,29.58807182,30.17225838,27.93612099,299.8644714,297.6412354,10.73943329,14.4955864,20.32624245,27.43541527,300.9853821,1001.365967,2031.473389,78.74804688,-0.237084061,-0.467256755,0.017742539,0.003623437,0.040712718,0.015075042,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50492691,0.005735881,303.3222584,302.7380718,160.2185511,-0.380044991,4.30278647,54.63991351,40.14432711,29.8801651,4.231211976,0.137942388,1.141499117,3.089712859,0.086398413,20.48709663,0.87407264,25.02867073,297.4031147,0.00137898,0,876.1450269,0,#DIV/0!,#DIV/0!
Remark=,"""15:10:15 CO2 Mixer: CO2R -> 200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:12:49 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15:12:16,726.5000007,0,0.75156128,0.133495974,177.3735725,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.899748802,0.874949874,0.001997691,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.400154847,3.12136937,29.91304779,2,4.644859791,1,9.289719582,29.20010567,29.91304779,27.55906296,200.0288391,198.8159943,10.65778255,14.1952486,20.62832832,27.47515869,300.9780579,1002.106262,2027.342285,78.74803925,-0.063779309,-0.442774028,0.016430451,0.002093445,0.015863881,0.018356586,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504890289,0.005400155,303.0630478,302.3501057,160.3369984,-0.328995949,4.239217364,53.83267196,39.63742335,29.55657673,4.153133534,0.131604775,1.117847994,3.03528554,0.082420832,13.96782105,0.892149413,24.85638093,198.7067759,0.000940134,0,876.7927483,0,#DIV/0!,#DIV/0!
Remark=,"""15:12:49 CO2 Mixer: CO2R -> 100 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:15:18 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15:14:50,876.000001,0,-1.032956665,0.133900784,106.6074155,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.899748802,0.874949874,-3.75842E-05,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.294592761,3.052016887,29.68406105,2,4.644859791,1,9.289719582,28.95280266,29.68406105,27.32749557,100.4205475,100.7524872,10.90387535,14.37170601,21.40832329,28.21695137,300.9662781,1002.201294,2026.213989,78.74681091,-0.071565866,-0.416384429,0.031737622,0.008794183,0.013529166,0.015108933,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50483139,0.005294593,302.8340611,302.1028027,160.3522034,-0.311985446,4.183742903,53.12904553,38.75733953,29.31843185,4.096476855,0.13199818,1.131726016,2.96475084,0.082667715,8.394993988,1.058111998,25.57524251,100.9025984,-0.00261818,0,876.8758963,0,#DIV/0!,#DIV/0!
Remark=,"""15:15:18 CO2 Mixer: CO2R -> 50 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:17:47 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15:17:19,1024.500001,0,-2.083388205,0.142616402,75.96609871,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.948097229,0.874974049,-0.001240192,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.515862149,2.989292652,29.42614746,2,4.644859791,1,9.289719582,28.78022003,29.42614746,27.14334297,55.25851059,56.43601608,10.77160931,14.38401985,21.36169052,28.52563477,300.9913635,998.3898315,2025.305298,78.7489624,-0.135126919,-0.400313586,0.021421192,0.007019301,0.026913961,0.015967006,1,-1.355140209,7.355140209,1,0,0.159999996,111135,1.504956818,0.005515862,302.5761475,301.93022,159.7423695,-0.347599544,4.12201929,52.34379177,37.95977192,29.10318375,4.045848486,0.14046005,1.132726638,2.913121848,0.087978752,5.982251452,1.346057075,26.11117684,56.73877808,-0.009587749,0,873.565193,0,#DIV/0!,#DIV/0!
Remark=,"""15:17:47 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:20:15 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15:19:48,1173.000001,0,6.866049758,0.151214195,299.1523535,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,9.948097229,0.874974049,0.009001858,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.699933006,2.917337781,29.11829758,2,4.644859791,1,9.289719582,28.67012024,29.11829758,27.05098915,400.0636292,394.0086975,10.6428194,14.37603092,21.24052048,28.69111824,300.9736023,998.6869507,2022.502197,78.74549866,-0.828144491,-0.42544663,0.040555686,0.004362993,0.045131948,0.013759062,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504868011,0.005699933,302.2682976,301.8201202,159.7899085,-0.369399932,4.049385505,51.42370769,37.04767677,28.89420891,3.997218483,0.148792217,1.132047724,2.86517076,0.093209744,23.55690125,0.759253172,26.69834101,393.0109099,0.004664302,0,873.8251645,0,#DIV/0!,#DIV/0!
Remark=,"""15:20:16 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:22:44 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
