OPEN 6.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jul 13 2021 10:33:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.639999986,-0.300000012,-2937.830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,NorthYermoYermo_ACi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:33:34 LCF Lamp: ParIn -> 1000 uml, with blue = 10 percent, actinic on""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:45 Coolers: Tleaf -> 23.50 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:46:55 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:50:57 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:51:18,1149.499999,0,8.885917751,0.841209538,358.0241159,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02825832,0.875014129,0.011323973,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,16.69661288,1.658963744,24.27186394,2,4.644859791,1,9.289719582,26.27002525,24.27186394,26.31114769,399.2402649,389.0175476,6.664933681,17.56697083,15.32933617,40.40400314,300.921814,997.7071533,1483.732666,78.85661316,-0.500711322,-0.340351075,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50460907,0.016696613,297.4218639,299.4200253,159.633141,-2.214479123,3.044235567,38.60469585,21.03772502,25.2709446,3.231404384,0.771360714,1.385271823,1.846132561,0.487924364,28.23256921,0.920328962,48.58568495,387.7262289,0.011134877,0,873.0078559,0,#DIV/0!,#DIV/0!
2,10:51:20,1150.999999,0,9.15824603,0.840955106,357.297871,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02825832,0.875014129,0.011634616,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,16.68635841,1.658419263,24.26621437,2,4.644859791,1,9.289719582,26.27259254,24.26621437,26.31539536,399.2343445,388.8348999,6.664986134,17.56082344,15.32711506,40.3836937,300.9100037,997.8186646,1485.373901,78.85652161,-0.500711322,-0.340351075,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504550018,0.016686358,297.4162144,299.4225925,159.6509828,-2.212230345,3.043204716,38.59166819,21.03084475,25.26940346,3.231108094,0.771146775,1.384785453,1.846322641,0.487787403,28.17526728,0.918893523,48.58436502,387.5040059,0.011482399,0,873.1054298,0,#DIV/0!,#DIV/0!
3,10:51:21,1152.499998,0,9.344708192,0.843016757,356.8826984,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02825832,0.875014129,0.011848236,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,16.68519633,1.654626575,24.24477386,2,4.644859791,1,9.289719582,26.27649117,24.24477386,26.31912422,399.2404175,388.7196045,6.665287495,17.55936241,15.32426357,40.37099838,300.9381714,997.8137207,1485.729248,78.85643768,-0.500711322,-0.340351075,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504690857,0.016685196,297.3947739,299.4264912,159.6501917,-2.21089808,3.039295342,38.54213342,20.98277101,25.26063251,3.229422299,0.772880002,1.384668768,1.844753532,0.488897023,28.14249827,0.918098018,48.64776345,387.3616134,0.011735782,0,873.1011039,0,#DIV/0!,#DIV/0!
Remark=,"""10:51:35 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
