"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","Leaf Angle","Leaf Temp Differential","Light Intensity (PAR)","Phi2_250","PhiNO_250","PhiNPQ_250","time","How many leaves","Leaf size","Plant ID","type of plant","What Rep is this plant","angle","baseline","compass","compass_direction","contactless_temp","Fm_250_Prime","Fm_500_Prime","Fm_1000_Prime","Fm_1500_Prime","Fm_2000_Prime","Fo_250_Prime","Fo_500_Prime","Fo_1000_Prime","Fo_1500_Prime","Fo_2000_Prime","Fs_250","Fs_500","Fs_1000","Fs_1500","Fs_2000","FvP/Fm_250_P","FvP/Fm_500_P","FvP/Fm_1000_P","FvP/Fm_1500_P","FvP/Fm_2000_P","humidity","humidity2","LEF","light_intensity","MPF_rsquared_250","MPF_rsquared_500","MPF_rsquared_1000","MPF_rsquared_1500","MPF_rsquared_2000","MPF_slope_250","MPF_slope_500","MPF_slope_1000","MPF_slope_1500","MPF_slope_2000","NPQt_250","NPQt_500","NPQt_1000","NPQt_1500","NPQt_2000","Phi2_500","Phi2_1000","Phi2_1500","Phi2_2000","PhiNO_500","PhiNO_1000","PhiNO_1500","PhiNO_2000","PhiNPQ_500","PhiNPQ_1000","PhiNPQ_1500","PhiNPQ_2000","pitch","pressure","pressure2","qL_250","qL_500","qL_1000","qL_1500","qL_2000","qP_250","qP_500","qP_1000","qP_1500","qP_2000","RFd","roll","temperature","temperature2","thickness","Time of Day","w","User","Device ID","Latitude","Longitude","Issues"
2084579,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,22.39355,32.03,10.824,-7.040000000000003,660.535,0.625,0.16,0.216,"06/02/2021 11:20 AM",1,"more than 2cm","yermo green 1","Forb",1,10.824,0,-1,"??",24.99,1024.722,963.692,663.37,508.961,504.308,333,336,340,337,348,384.7,395.3,382.3,369.3,400.3,0.675,0.651,0.487,0.338,0.31,22.39355,22.33301,185.661,660.535,-0.931,-0.989,-0.998,-0.997,-0.994,-589468.236,-924894.234,-596394.925,-318793.244,-269414.605,1.349,1.612,4.131,8.547,9.885,0.59,0.424,0.274,0.206,0.157,0.112,0.076,0.073,0.253,0.464,0.65,0.721,-6.77,796.90729,797.88446,0.801,0.77,0.773,0.74,0.579,0.925,0.905,0.869,0.811,0.666,1.664,8.46,32.03,32.15,1.72,11.337222222222223,3690,"CRG","01:12:37:24",42.62511746,-108.18070186,""
2084578,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,25.80273,36.61,5.549,-4.019999999999996,2459.313,0.376,0.124,0.501,"06/02/2021 11:33 AM",1,"~2cm","pea breen 1","Forb",1,5.549,0,-1,"??",32.59,585.745,562.397,513.607,485.555,550.593,298,296,297,303,318,365.7,372,373.7,378.3,441.7,0.491,0.474,0.423,0.376,0.423,25.80273,26.37891,415.81,2459.313,-0.262,-0.917,-0.99,-0.999,-0.992,-34405.052,-142262.976,-198615.433,-243698.124,-272809.069,4.054,4.422,5.67,7.085,5.662,0.339,0.272,0.221,0.198,0.122,0.109,0.096,0.12,0.539,0.618,0.683,0.682,5.53,796.98077,797.85248,0.623,0.569,0.512,0.47,0.337,0.765,0.715,0.645,0.587,0.468,0.602,-0.42,36.61,36.59,0.7,11.557777777777778,13765.2,"CRG","01:12:37:24",42.62511827,-108.18069884,""
2084577,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,25.62793,35.7,4.815,-1.1900000000000048,2345.163,0.55,0.138,0.312,"06/02/2021 11:43 AM",1,"~2cm","silver leaf 1 green","Forb",1,4.815,0,-1,"??",34.51,704.429,612.73,505.266,448.594,415.466,282,283,284,286,288,317,322.3,319,319,320.3,0.6,0.537,0.438,0.362,0.307,25.62793,26.08984,580.418,2345.163,-0.997,-0.977,-0.987,-0.996,-0.997,-739474.796,-625330.648,-451290.943,-343928.473,-271499.137,2.258,3.199,5.264,7.584,10.001,0.474,0.369,0.289,0.229,0.125,0.101,0.083,0.07,0.401,0.531,0.628,0.701,-1.14,796.85315,797.82031,0.816,0.775,0.749,0.715,0.669,0.917,0.882,0.842,0.797,0.745,1.222,-4.68,35.7,35.83,0.9,11.720277777777778,13118.6,"CRG","01:12:37:24",42.62512248,-108.18069729,""
2084576,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,31.27344,34.97,16.271,-4.140000000000001,2318.316,0.304,0.091,0.604,"06/02/2021 11:51 AM",3,"~1cm","wheat1 green south","grass",1,16.271,0,-1,"??",30.83,542.026,494.183,450.196,441.726,467.434,330,331,332,341,350,377,372.7,372.7,388.7,408,0.39,0.33,0.263,0.228,0.252,31.27344,33.0752,317.627,2318.316,-0.806,-0.947,-0.893,-0.984,-0.992,-124114.858,-132976.234,-108468.178,-101924.56,-141333.698,6.619,8.899,12.676,15.563,13.478,0.246,0.172,0.12,0.127,0.076,0.061,0.053,0.06,0.678,0.767,0.827,0.813,-16.21,796.82806,797.83392,0.683,0.661,0.583,0.463,0.432,0.78,0.745,0.655,0.528,0.504,0.438,-1.42,34.97,35.05,0.76,11.852777777777778,12954.8,"CRG","01:12:37:24",42.62511301,-108.18068591,""
2084575,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,24.17969,34.72,12.413,-4.609999999999999,1598.583,0.593,0.172,0.235,"06/02/2021 12:03 PM",1,"more than 2cm","yermo2 green south","Forb",2,12.413,0,-1,"??",30.11,1109.245,963.348,708.193,584.385,556.193,362,367,370,371,377,451.3,462.3,436.7,416,439,0.674,0.619,0.478,0.365,0.323,24.17969,24.50781,426.666,1598.583,-0.988,-0.999,-0.99,-0.988,-0.993,-816633.905,-827274.082,-534060.766,-365431.177,-278771.435,1.362,2.003,4.339,7.485,9.25,0.52,0.383,0.288,0.211,0.16,0.115,0.084,0.077,0.32,0.501,0.628,0.712,1.86,796.69818,797.69592,0.706,0.667,0.68,0.704,0.561,0.88,0.84,0.803,0.789,0.653,1.458,-12.27,34.72,34.87,1.21,12.058611111111112,8913,"CRG","01:12:37:24",42.62522277,-108.18059644,""
2084574,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,28.28125,33.62,67.897,-2.6499999999999986,1775.953,0.589,0.158,0.253,"06/02/2021 12:11 PM",3,"~1cm","not sage 2 green south","Forb",2,67.897,0,-1,"??",30.97,713.745,644.543,497.159,437.204,438.704,248,244,240,240,240,293.7,301,298.7,299.3,332.7,0.653,0.621,0.518,0.451,0.453,28.28125,29.95117,470.361,1775.953,-0.989,-0.997,-0.996,-0.996,-0.99,-658845.091,-653676.66,-414767.522,-320725.515,-273305.731,1.599,1.973,3.547,4.939,4.894,0.533,0.399,0.315,0.242,0.157,0.132,0.115,0.129,0.31,0.469,0.569,0.63,-5.94,796.62915,797.66138,0.762,0.695,0.619,0.561,0.385,0.902,0.858,0.771,0.699,0.534,1.43,67.77,33.62,33.76,1.34,12.198333333333334,10022.4,"CRG","01:12:37:24",42.62523156,-108.1806004,""
2084573,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,28.04492,32.33,20.223,-5.159999999999997,3106.367,0.352,0.1,0.548,"06/02/2021 12:19 PM",3,"~1cm","wheat2 green south","grass",2,20.223,0,-1,"??",27.17,457.984,426.009,363.132,355.929,366.336,261,264,264,270,277,297,296,288,289.3,312.7,0.43,0.379,0.273,0.243,0.244,28.04492,29.39844,491.357,3106.367,-0.603,-0.832,-0.891,-0.932,-0.783,-83007.884,-115151.974,-73178.559,-117695.707,-121443.031,5.466,6.984,11.996,14.24,14.086,0.305,0.207,0.187,0.147,0.087,0.061,0.053,0.057,0.608,0.732,0.76,0.797,-9.82,796.57483,797.6853,0.718,0.719,0.695,0.719,0.531,0.817,0.804,0.758,0.771,0.599,0.542,17.77,32.33,32.43,0.64,12.316666666666666,17408.2,"CRG","01:12:37:24",42.62522094,-108.18059674,""
2084572,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,25.27246,36.2,13.819,-5.3700000000000045,1677.258,0.518,0.174,0.308,"06/02/2021 12:46 PM",1,"more than 2cm","pea3 comp south","Forb",3,13.819,0,-1,"??",30.83,840.762,712.423,554.251,498.559,543.281,304,302,301,300,311,405,404,381.7,379.3,444,0.638,0.576,0.458,0.399,0.428,25.27246,25.83008,391.191,1677.258,-0.975,-0.962,-0.992,-0.948,-0.994,-486298.999,-339347.336,-275309.299,-257128.553,-245253.366,1.767,2.591,4.783,6.348,5.524,0.433,0.311,0.239,0.183,0.158,0.119,0.104,0.125,0.409,0.57,0.657,0.692,-13.49,796.53455,797.50806,0.61,0.562,0.536,0.473,0.299,0.812,0.751,0.68,0.599,0.427,1.076,3.04,36.2,36.37,0.91,12.781111111111112,9373.8,"CRG","01:12:37:24",42.62513937,-108.18045324,""
2084571,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,25.79199,35.8,15.037,-0.28999999999999915,2325.915,0.206,0.057,0.737,"06/02/2021 12:56 PM",3,"~1cm","nogsage3 green south comp","Forb",3,15.037,0,-1,"??",35.51,327.056,327.056,307.436,313.023,340.588,242,240,238,239,245,259.7,261.7,267.3,275,304,0.206,0.154,0.226,0.235,0.281,25.79199,26.41699,215.662,2325.915,0.451,0.381,-0.387,-0.854,-0.924,59325.181,32084.877,-29509.725,-57111.348,-84418.115,12.885,15.919,15.727,14.868,11.472,0.154,0.13,0.121,0.107,0.05,0.052,0.055,0.072,0.796,0.818,0.823,0.821,14.82,796.51392,797.51245,0.738,0.63,0.514,0.45,0.308,0.77,0.669,0.578,0.516,0.382,0.26,2.59,35.8,35.89,1.13,12.943888888888889,12980.4,"CRG","01:12:37:24",42.62513071,-108.18055185,""
2084570,"June 2, 2021 11:02 AM - June 4, 2021 3:40 PM",1,23.14453,36.05,3.746,-3.239999999999995,2295.418,0.49,0.127,0.383,"06/02/2021 1:06 PM",3,"~1cm","weat4 green comp south","grass",4,3.746,0,-1,"??",32.81,851.804,742.561,604.33,557.618,581.397,384,390,394,404,417,434.3,441.3,435.3,444.3,470,0.549,0.475,0.349,0.275,0.283,23.14453,23.90625,506.245,2295.418,-1,-0.988,-1,-0.991,-1,-806415.468,-676526.758,-373342.732,-267761.48,-305165.842,3.006,4.398,8.115,11.88,11.336,0.406,0.28,0.203,0.192,0.11,0.079,0.062,0.066,0.484,0.641,0.735,0.743,-0.42,796.45685,797.4472,0.789,0.755,0.725,0.673,0.599,0.892,0.854,0.802,0.739,0.676,0.961,-3.72,36.05,36.17,0.98,13.113055555555555,12835.2,"CRG","01:12:37:24",42.62511441,-108.18060948,""
